Site Code,Month-Year,Asset Down Count,Asset Event Count,Asset Failure Count,FMS Total Active Maintenance Hours (Actual),FMS Total Available Time (Actual),FMS Total Excluded Calendar Hours (Actual),FMS Total Maintenance Delay Hours (Actual),FMS Total Maintenance Hours (Actual),FMS Total Operational Delay Hours (Actual),FMS Total Production Time (Hours) (Actual),FMS Total Standby Hours (Actual),FMS Total Utilized Time (Actual),FMS Maintenance Availability (Actual),FMS Mean Down Time (Hours),FMS Mean Failure Time (Hours),FMS Mean Time Between Down (Hours),FMS Mean Time Between Failure (Hours),FMS Mean Time To Repair (Hours),FMS Mobile Availability (Actual),FMS Operating Efficiency (Actual),FMS Use of Availability (Actual)
CDA,Oct-2021,526,155321,486,6458.01,35633.374722222194,0.00,288.37,6746.38,1966.64,18098.04,15568.69,20064.68,74.84%,12.83,2.104471307727481,38.15,41.29,12.28,84.08%,90.20%,56.31%
CDA,Nov-2021,529,154124,492,7385.95,33307.828611111094,0.00,346.23,7732.17,1844.79,17424.77,14038.26,19269.56,71.36%,14.62,2.546390582655826,36.43,39.17,13.96,81.16%,90.43%,57.85%
CDA,Dec-2021,633,142758,605,8424.93,33463.241944444475,0.00,516.49,8941.42,1802.49,16808.83,14851.92,18611.32,67.55%,14.13,2.204022038567494,29.40,30.76,13.31,78.91%,90.32%,55.62%
CDA,Jan-2022,538,155064,489,7760.03,34259.257500000014,0.00,387.71,8147.74,2035.54,17416.29,14807.43,19451.83,70.48%,15.14,3.2430299931833675,36.16,39.78,14.42,80.79%,89.54%,56.78%
CDA,Feb-2022,450,138408,417,8196.25,29957.93499999996,624.00,365.81,8562.06,1713.47,15825.79,12418.67,17539.26,67.20%,19.03,5.546004529709567,38.98,42.06,18.21,77.77%,90.23%,58.55%
CDA,Mar-2022,447,134771,400,9234.15,33441.18611111104,1486.42,453.32,9687.47,1944.68,16291.46,15205.05,18236.13,65.31%,21.67,4.912272916666667,40.80,45.59,20.66,77.54%,89.34%,54.53%
CDA,Apr-2022,510,156584,449,7728.09,33645.45861111104,1515.00,348.62,8076.71,1874.32,17986.40,13784.74,19860.72,71.09%,15.84,3.5952709725315515,38.94,44.23,15.15,80.64%,90.56%,59.03%
CDA,May-2022,519,152467,481,8821.79,34001.230277777824,1488.00,320.51,9142.30,2151.28,16256.24,15593.71,18407.52,66.82%,17.62,5.110164587664587,35.47,38.27,17.00,78.81%,88.31%,54.14%
CDA,Jun-2022,512,147319,471,9117.76,32220.29888888891,1440.00,419.27,9537.03,2160.57,17306.52,12753.21,19467.09,67.12%,18.63,4.66727294173154,38.02,41.33,17.81,77.16%,88.90%,60.42%
CDA,Jul-2022,424,129816,386,9506.42,33085.33416666674,1608.00,553.29,10059.70,2486.25,13608.16,16990.92,16094.41,61.54%,23.73,4.941729994242948,37.96,41.70,22.42,76.68%,84.55%,48.65%
CDA,Aug-2022,545,161634,502,9491.32,32494.94694444448,2232.00,553.73,10045.05,2376.16,16629.37,13489.41,19005.53,65.42%,18.43,7.909588866755201,34.87,37.86,17.42,76.39%,87.50%,58.49%
CDA,Sep-2022,514,171957,442,9439.03,31297.9772222222,2208.61,553.38,9992.41,1959.39,16964.33,12374.26,18923.72,65.44%,19.44,12.846430995475112,36.82,42.81,18.36,75.80%,89.65%,60.46%
CDA,Oct-2022,528,211159,439,9544.28,33138.073055555564,2069.05,501.60,10045.88,2070.52,19037.01,12030.54,21107.53,67.75%,19.03,13.805027841052897,39.98,48.08,18.08,76.74%,90.19%,63.70%
CDA,Nov-2022,460,183374,362,9978.90,31313.927222222184,1440.00,453.51,10432.41,1708.09,17713.00,11892.83,19421.09,65.05%,22.68,18.89211249232658,42.22,53.65,21.69,75.01%,91.20%,62.02%
CDA,Dec-2022,497,210280,401,9089.39,34073.7816666667,1488.00,508.04,9597.43,2093.77,19962.97,12017.04,22056.74,69.68%,19.31,12.998360349127182,44.38,55.00,18.29,78.02%,90.51%,64.73%
CDA,Jan-2023,503,193424,431,9043.43,34877.715000000004,1500.00,717.22,9760.65,2315.49,20134.69,12427.53,22450.18,69.70%,19.40,13.74395011600928,44.63,52.09,17.98,78.13%,89.69%,64.37%
CDA,Feb-2023,490,172307,419,7950.20,32888.49666666669,1680.00,477.29,8427.49,1965.01,18066.27,12857.22,20031.28,70.39%,17.20,13.64523004508088,40.88,47.81,16.22,79.60%,90.19%,60.91%
CDA,Mar-2023,475,180132,405,7734.53,30509.895833333376,1268.60,439.42,8173.95,1900.59,17704.22,10905.08,19604.81,70.57%,17.21,15.006968449931415,41.27,48.41,16.28,78.87%,90.31%,64.26%
